"","Location","year","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty"
"173","Maine",2012,25.286,0.1287,0.1106,0.2393,7.1,0.138,0.162,0.15
"174","Maine",2013,24.9119,0.1563,0.1453,0.3016,6.7,0.127,0.135,0.131
"175","Maine",2014,23.0536,0.1348,0.1378,0.2726,5.6,0.13,0.164,0.147
"176","Maine",2015,20.2579,0.1219,0.1153,0.2372,4.4,0.122,0.144,0.133
"177","Maine",2016,18.9245,0.1321,0.092,0.2241,3.8,0.122,0.144,0.133
"178","Maine",2017,17.9734,0.1352,0.0928,0.228,3.4,0.104,0.134,0.119
"179","Maine",2018,16.7858,0.145,0.1066,0.2516,3.1,0.1,0.126,0.113
"180","Maine",2019,14.4433,0.1232,0.0874,0.2106,2.8,0.103,0.119,0.111
"181","Maryland",2011,66.7738,0.6353,0.3855,1.0208,7,0.079,0.105,0.093
"182","Maryland",2012,71.6379,0.5727,0.3727,0.9454,6.8,0.078,0.106,0.092
"183","Maryland",2013,77.1021,0.5221,0.2984,0.8205,6.5,0.076,0.107,0.093
"184","Maryland",2014,78.7597,0.498,0.2876,0.7856,5.7,0.084,0.105,0.095
"185","Maryland",2015,78.1035,0.5383,0.3007,0.839,5,0.08,0.108,0.094
"186","Maryland",2016,74.4343,0.4983,0.2706,0.7689,4.3,0.08,0.108,0.094
"187","Maryland",2017,68.4282,0.5077,0.217,0.7247,4,0.075,0.1,0.088
"188","Maryland",2018,64.6483,0.4914,0.223,0.7144,3.7,0.069,0.096,0.083
"189","Maryland",2019,57.0444,0.4652,0.1909,0.6561,3.4,0.07,0.096,0.083
"190","Massachusetts",2011,81.3631,0.6344,1.032,1.6664,7.6,0.092,0.127,0.11
"191","Massachusetts",2012,86.1568,0.6289,1.1212,1.7501,6.7,0.094,0.129,0.112
"192","Massachusetts",2013,88.7619,0.6694,1.2335,1.9029,6.6,0.096,0.128,0.112
"193","Massachusetts",2014,86.3412,0.6788,1.4449,2.1237,5.7,0.096,0.124,0.11
"194","Massachusetts",2015,78.5778,0.6378,1.4757,2.1135,4.8,0.093,0.123,0.108
"195","Massachusetts",2016,77.9192,0.6434,1.3174,1.9608,4,0.093,0.123,0.108
"196","Massachusetts",2017,76.6116,0.6267,1.1298,1.7565,3.8,0.083,0.111,0.097
"197","Massachusetts",2018,77.0566,0.6811,1.3257,2.0068,3.5,0.083,0.107,0.095
"198","Massachusetts",2019,70.3516,0.6259,1.2212,1.8471,3.1,0.076,0.099,0.088
"199","Michigan",2011,192.8478,0.7634,0.5551,1.3185,10.4,0.149,0.176,0.163
"200","Michigan",2012,182.8384,0.7397,0.5195,1.2592,9,0.15,0.184,0.168
"201","Michigan",2013,177.5646,0.7236,0.4291,1.1527,8.7,0.148,0.18,0.164
"202","Michigan",2014,167.9421,0.7535,0.4692,1.2227,7.2,0.141,0.173,0.157
"203","Michigan",2015,157.1344,0.6546,0.397,1.0516,5.4,0.132,0.175,0.154
"204","Michigan",2016,147.3614,0.5803,0.3513,0.9316,5,0.132,0.175,0.154
"205","Michigan",2017,137.5434,0.5628,0.3423,0.9051,4.6,0.119,0.154,0.137
"206","Michigan",2018,128.1862,0.5209,0.3142,0.8351,4.2,0.119,0.152,0.135
"207","Michigan",2019,118.1972,0.5212,0.3363,0.8575,4.1,0.113,0.142,0.128
"208","Minnesota",2011,50.5919,0.341,0.4085,0.7495,6.6,0.1,0.122,0.111
"209","Minnesota",2012,53.8869,0.354,0.4204,0.7744,5.6,0.101,0.116,0.109
"210","Minnesota",2013,55.2928,0.3728,0.4486,0.8214,5,0.102,0.118,0.11
"211","Minnesota",2014,53.3743,0.3652,0.4725,0.8377,4.3,0.1,0.117,0.109
"212","Minnesota",2015,49.6023,0.3622,0.3924,0.7546,3.8,0.086,0.107,0.096
"213","Minnesota",2016,47.8783,0.3669,0.3672,0.7341,3.9,0.086,0.107,0.096
"214","Minnesota",2017,45.3564,0.3899,0.3769,0.7668,3.5,0.086,0.103,0.095
"215","Minnesota",2018,42.8986,0.3993,0.325,0.7243,3.1,0.083,0.106,0.094
"216","Minnesota",2019,38.1779,0.4586,0.3391,0.7977,3.4,0.07,0.099,0.084
"217","Mississippi",2011,62.2596,0.1825,0.0481,0.2306,10.4,0.171,0.239,0.206
"218","Mississippi",2012,65.9872,0.1794,0.0619,0.2413,8.7,0.179,0.248,0.215
"219","Mississippi",2013,66.8624,0.1753,0.065,0.2403,8.5,0.182,0.261,0.223
"220","Mississippi",2014,65.6871,0.1714,0.0512,0.2226,7.6,0.172,0.23,0.202
"221","Mississippi",2015,63.6322,0.1475,0.0508,0.1983,6.5,0.17,0.232,0.203
"222","Mississippi",2016,58.2658,0.1299,0.0439,0.1738,6,0.17,0.232,0.203
"223","Mississippi",2017,53.737,0.11,0.0372,0.1472,5.2,0.152,0.21,0.182
"224","Mississippi",2018,50.5308,0.1024,0.0328,0.1352,5,0.154,0.214,0.186
"225","Mississippi",2019,42.0873,0.0963,0.0221,0.1184,5.4,0.141,0.211,0.178
"226","Missouri",2011,94.3088,0.4657,0.4332,0.8989,8.8,0.13,0.171,0.151
"227","Missouri",2012,94.7889,0.4855,0.5382,1.0237,7,0.133,0.176,0.155
"228","Missouri",2013,92.9943,0.4652,0.3929,0.8581,6.8,0.137,0.169,0.154
"229","Missouri",2014,85.8416,0.4307,0.2975,0.7282,6.2,0.126,0.167,0.147
"230","Missouri",2015,84.4597,0.3434,0.3048,0.6482,5.1,0.122,0.162,0.142
"231","Missouri",2016,81.069,0.381,0.2384,0.6194,4.6,0.122,0.162,0.142
"232","Missouri",2017,75.8918,0.3768,0.2269,0.6037,3.7,0.112,0.143,0.128
"233","Missouri",2018,73.659,0.3776,0.2107,0.5883,3.2,0.109,0.143,0.126
"234","Missouri",2019,63.9338,0.4173,0.2006,0.6179,3.1,0.107,0.136,0.122
"235","Montana",2011,12.4243,0.1094,0.0674,0.1768,7.4,0.136,0.139,0.137
"236","Montana",2012,12.5874,0.1166,0.0667,0.1833,5.6,0.132,0.172,0.152
"237","Montana",2013,12.8531,0.1211,0.0667,0.1878,5.3,0.159,0.191,0.175
"238","Montana",2014,12.4906,0.1167,0.0578,0.1745,4.7,0.159,0.178,0.168
"239","Montana",2015,11.9082,0.1127,0.0582,0.1709,4.3,0.137,0.163,0.15
"240","Montana",2016,11.6626,0.0844,0.0574,0.1418,4.3,0.137,0.163,0.15
"241","Montana",2017,12.0889,0.0987,0.0542,0.1529,4.1,0.119,0.151,0.135
"242","Montana",2018,11.5223,0.0983,0.0422,0.1405,3.8,0.114,0.131,0.122
"243","Montana",2019,9.9368,0.0947,0.041,0.1357,3.6,0.112,0.145,0.128
"244","Nebraska",2011,17.4204,0.221,0.1338,0.3548,4.2,0.093,0.131,0.112
"245","Nebraska",2012,17.6073,0.2215,0.1574,0.3789,3.8,0.09,0.128,0.109
"246","Nebraska",2013,17.9711,0.1892,0.1253,0.3145,3.7,0.112,0.136,0.124
"247","Nebraska",2014,17.353,0.1893,0.1133,0.3026,3.3,0.093,0.142,0.118
"248","Nebraska",2015,17.4092,0.172,0.1024,0.2744,3,0.107,0.141,0.124
"249","Nebraska",2016,17.5851,0.188,0.0874,0.2754,3.1,0.107,0.141,0.124
"250","Nebraska",2017,17.5849,0.1698,0.0803,0.2501,3,0.083,0.119,0.101
