"","YearStart","LocationAbbr","LocationDesc","DataValue","LowConfidenceLimit","HighConfidenceLimit","LocationID","TOBDataValue","TOBLowConfidenceLimit","TOBHighConfidenceLimit","AlcHeavyDataValue","AlcHeavyLowConfidenceLimit","AlcHeavyHighConfidenceLimit","AlcBingeDataValue","AlcBingeLowConfidenceLimit","AlcBingeHighConfidenceLimit","ObeDataValue","ObeLowConfidenceLimit","ObeHighConfidenceLimit","selfHlthDataValue","selfHlthLowConfidenceLimit","selfHlthHighConfidenceLimit","HlthCareDataValue","HlthCareLowConfidenceLimit","HlthCareHighConfidenceLimit","X.x","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty","X.y","o3_mean","pm2.5_mean","so2_mean","co_mean","no2_mean","State.Name"
"38",2011,"OR","Oregon",13.7,11,16.9,41,"22.2",19,25.7,"7.7",5.9,10,"18.4",15.5,21.7,"49.0",44.9,53.1,87.7,84.7,90.1,75.2,71.4,78.6,334,77.2756,0.9445,0.7809,1.7254,9.6,0.154,0.187,0.171,38,0.0270249466612699,8.71773643961432,0.756050352507375,0.338233156164384,9.40429039428571,"Oregon"
"39",2011,"PA","Pennsylvania",13.4,11.5,15.6,42,"26.9",24.2,29.7,"7.2",5.5,9.3,"21.4",18.8,24.2,"50.5",47.2,53.8,88,85.8,89.8,84.8,82.3,86.9,343,171.8211,0.7867,0.7229,1.5096,7.9,0.111,0.144,0.128,39,0.0301351388073482,11.5469875116207,2.58669885936138,0.233202501641978,9.78793031389618,"Pennsylvania"
"40",2011,"PR","Puerto Rico",13.7,11.7,16.1,72,"10.3",8.5,12.4,"4.2",3.2,5.6,"12.5",10.6,14.7,"52.8",49.7,55.9,79.7,77.1,82.1,93.3,91.6,94.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,"Puerto Rico"
"41",2011,"RI","Rhode Island",17.5,14.8,20.7,44,"21.9",18.8,25.4,"5.8",4.2,8,"20.2",16.9,23.9,"48.7",44.4,53.1,87.9,85,90.3,85.4,82,88.3,352,16.0201,0.0652,0.0418,0.107,15.8,0.108,0.153,0.131,40,0.0318300187493095,8.7148917546614,1.22861520134731,0.234277616783217,8.62334437148739,"Rhode Island"
"42",2011,"SC","South Carolina",9.5,7.8,11.4,45,"26.2",23.5,29.1,"6.7",5.2,8.5,"15.6",13.3,18.2,"57.9",54.7,61.1,88.2,86.1,89.9,73.9,71.1,76.6,361,84.4405,0.3505,0.1588,0.5093,10.8,0.15,0.196,0.174,41,0.033410700530384,10.713091849174,0.672061118567596,0.202457353604571,6.16711988105634,"South Carolina"
"43",2011,"SD","South Dakota",9.6,7.1,12.9,46,"30.6",26.1,35.6,"5.9",4.2,8.2,"26.7",22.3,31.6,"46.8",41.7,51.9,91.5,88.7,93.6,79.7,75,83.6,370,10.1817,0.046,0.0366,0.0826,10.3,0.103,0.127,0.115,42,0.0341187591636771,5.29884669787493,0.660604971993452,0.171089722010225,5.02572995935352,"South Dakota"
"44",2011,"TN","Tennessee",7.1,4.4,11.2,47,"23.6",18.5,29.6,"",NA,NA,"8.7",5.4,13.7,"51.8",45,58.5,88.5,83.4,92.1,81.3,75.4,86,379,127.579,0.6475,0.2638,0.9113,4.7,0.144,0.188,0.167,43,0.0358822310824955,13.0072133985173,2.14907265420813,0.337201238615365,9.5379734348157,"Tennessee"
"45",2011,"TX","Texas",8.3,6.9,10,48,"16.0",13.8,18.6,"6.3",4.6,8.7,"17.8",15.1,20.7,"54.2",50.8,57.6,86,83.7,87.9,60.6,57.5,63.6,388,397.7273,2.3577,1.3334,3.6911,9.5,0.135,0.181,0.159,44,0.0317056709877931,10.7510663449806,0.767392338276985,0.221569015610816,7.67681258188152,"Texas"
"46",2011,"UT","Utah",10.6,9.1,12.4,49,"10.8",9.4,12.4,"3.3",2.5,4.2,"9.2",7.9,10.7,"43.4",40.8,46,91.5,90.1,92.8,77.3,75.2,79.4,397,28.3971,0.1842,0.1288,0.313,8.2,0.12,0.153,0.136,45,0.0425586682916146,6.53026000645225,1.35331297109411,0.429357186441523,5.76379136085053,"Utah"
"47",2011,"VA","Virginia",11.9,9.3,15.2,51,"25.3",21.8,29.2,"7.0",5.1,9.7,"22.1",18.6,26.2,"51.2",46.8,55.5,88.1,85,90.6,80.3,76.6,83.6,415,85.8782,0.5231,0.3585,0.8816,5.5,0.094,0.125,0.11,47,0.0334945285108991,9.27827533125113,0.825035700975665,0.26699610429153,7.81166857547301,"Virginia"
